dt,vix,sp500,sp500_volume,djia,djia_volume,hsi,ads,us3m,joblessness,epu,GPRD,prev_day,sp500_ret,sp500_ma10,sp500_vol10,djia_ret,djia_ma10,djia_vol10,hsi_ret,hsi_ma10,hsi_vol10
1990-01-03,18.19,358.76001,192330000.0,2809.73,23.62,2858.699951,-0.229917,7.89,3,100.359178207312,75.4080505371094,359.690002,0.0,348.3560029,0.0,0.0,2750.194,0.0,0.0,2830.3,0.0
1990-01-04,19.22,355.670013,177000000.0,2796.08,24.37,2868.0,-0.246065,7.84,3,100.359178207312,56.0858039855957,358.76001,-0.00861299173227259,348.3560029,0.0,-0.004858118039811732,2750.194,0.0,0.003253244187710891,2830.3,0.0
1990-01-05,20.11,352.200012,158530000.0,2773.25,20.29,2839.899902,-0.260393,7.79,3,100.359178207312,63.8476753234863,355.670013,-0.0097562371669494,348.3560029,0.0,-0.008165002431976154,2750.194,0.0,-0.009797802649930243,2830.3,0.0
1990-01-08,20.26,353.790009,140110000.0,2794.37,16.61,2816.0,-0.29175,7.79,3,100.359178207312,102.841156005859,352.200012,0.004514471737155912,348.3560029,0.0,0.007615613449923231,2750.194,0.0,-0.008415755070510955,2830.3,0.0
1990-01-09,22.2,349.619995,155210000.0,2766.0,15.8,2822.0,-0.297326,7.8,3,100.359178207312,138.435668945312,353.790009,-0.011786692370953866,348.3560029,0.0,-0.010152556748032615,2750.194,0.0,0.0021306818181818787,2830.3,0.0
1990-01-10,22.44,347.309998,175990000.0,2750.64,19.95,2868.0,-0.300341,7.75,3,100.359178207312,103.517738342285,349.619995,-0.006607165016405903,348.3560029,0.0,-0.00555314533622564,2750.194,0.0,0.016300496102055195,2830.3,0.0
1990-01-11,20.05,348.529999,154390000.0,2760.67,15.79,2855.0,-0.300796,7.8,3,100.359178207312,77.2074661254883,347.309998,0.0035127148859099844,348.3560029,0.0,0.0036464241049356527,2750.194,0.0,-0.004532775453277571,2830.3,0.0
1990-01-12,24.64,339.929993,183880000.0,2689.21,24.18,2835.0,-0.298692,7.74,3,100.359178207312,69.9548492431641,348.529999,-0.024675081125512976,348.3560029,0.0,-0.025885020665273317,2750.194,0.0,-0.007005253940455369,2830.3,0.0
1990-01-15,26.34,337.0,140590000.0,2669.37,18.63,2788.600098,-0.277353,7.74,3,100.359178207312,101.842697143555,339.929993,-0.008619401230652857,348.3560029,0.0,-0.007377631348983615,2750.194,0.0,-0.01636680846560845,2830.3,0.0
1990-01-16,24.18,340.75,186070000.0,2692.62,25.0,2751.800049,-0.265677,7.89,3,100.359178207312,78.4039688110352,337.0,0.011127596439169052,348.3560029,0.0,0.008709920318277442,2750.194,0.0,-0.013196603208324165,2830.3,0.0
1990-01-17,24.16,337.399994,170470000.0,2659.13,21.31,2754.800049,-0.251768,7.97,3,100.359178207312,86.1650543212891,340.75,-0.009831272193690399,346.22000130000004,0.010107404337567998,-0.012437700083933079,2735.134,0.010295297593018263,0.0010901954889819265,2819.9100098000004,0.009585651419437305
1990-01-18,24.34,338.190002,178590000.0,2666.38,22.75,2771.699951,-0.235623,8.04,3,100.359178207312,65.5953979492188,337.399994,0.0023414582514782456,344.4720002,0.010391219821164796,0.0027264556452675226,2722.1639999999998,0.010617726274332275,0.006134710940685073,2810.2800049,0.00985585664825943
1990-01-19,22.5,339.149994,185590000.0,2677.9,23.36,2776.300049,-0.217234,8.0,3,100.359178207312,96.365608215332,338.190002,0.002838617328492221,343.1669984,0.010510317557533696,0.004320464449928396,2712.629,0.010893835299335112,0.0016596666599284493,2803.9200196,0.009689631254488207
1990-01-22,26.7,330.380005,148380000.0,2600.45,20.06,2771.699951,-0.150139,7.99,3,100.359178207312,69.1226043701172,339.149994,-0.025858732581902966,340.82599799999997,0.012130573844543196,-0.02892191642705111,2693.237,0.012744397046647362,-0.001656916730472524,2799.4900147,0.009442010322744634
1990-01-23,24.72,331.609985,179300000.0,2615.32,22.52,2762.5,-0.125918,7.93,3,100.359178207312,121.305297851562,330.380005,0.0037229250601893416,339.024997,0.012404283499645516,0.005718241073660479,2678.169,0.013297196400557756,-0.0033192449264505264,2793.5400147,0.009363280686834972
1990-01-24,25.39,330.26001,207830000.0,2604.5,28.07,2756.399902,-0.101022,7.93,3,100.359178207312,72.0123443603516,331.609985,-0.004070972108997206,337.3199982,0.012398351706805963,-0.004137161035743353,2663.555,0.01330416877085063,-0.0022081802714931653,2782.3800049,0.0068037030395660305
1990-01-25,25.63,326.079987,172270000.0,2561.04,22.16,2768.899902,-0.07544,7.95,3,100.359178207312,88.1940307617188,330.26001,-0.012656763984231767,335.074997,0.012225039448076395,-0.016686504127471746,2643.5919999999996,0.013327853718281093,0.004534900756210991,2773.7699951000004,0.00730194688322579
1990-01-26,26.28,325.799988,198190000.0,2559.23,25.73,2768.899902,-0.0491631,7.93,3,100.359178207312,77.4154815673828,326.079987,-0.0008586819527811596,333.6619965,0.010504390035033203,-0.0007067441351950032,2630.594,0.011729580406105649,0.0,2767.1599853,0.007214058303167744
1990-01-29,26.44,325.200012,150770000.0,2553.38,16.54,2768.899902,0.0363421,8.0,3,100.359178207312,117.308471679688,325.799988,-0.001841547029154511,332.48199769999997,0.010404776991084977,-0.0022858437889521355,2618.995,0.011719588549589205,0.0,2765.1899657000004,0.005271368901382045
1990-01-30,27.25,322.980011,186030000.0,2543.24,24.91,2760.800049,0.0703036,8.0,3,100.359178207312,83.9249649047852,325.200012,-0.0068265710888104625,330.7049988,0.00906081307053267,-0.0039712067925652406,2604.057,0.01079676096041433,-0.002925296430596691,2766.0899657,0.003131270614969014
1990-01-31,25.36,329.079987,189660000.0,2590.54,22.51,2751.600098,0.107416,8.0,3,100.359178207312,128.320419311523,322.980011,0.018886543415221002,329.8729981,0.011648122176615646,0.01859832339849965,2597.198,0.012884022355819412,-0.003332349622107711,2765.7699706,0.003318825387952195
1990-02-01,24.87,328.790009,154580000.0,2586.26,19.8,2738.199951,0.147694,8.02,3,89.5909539887578,77.2074661254883,329.079987,-0.0008811778639095103,328.9329988,0.011545499165253513,-0.0016521651856368225,2589.186,0.01275915852351833,-0.0048699471299408215,2762.4199706,0.0028018620120180446
1990-02-02,24.32,330.920013,164400000.0,2602.7,18.7,2736.600098,0.187236,8.07,3,89.5909539887578,104.90470123291,328.790009,0.00647831120683473,328.1100007,0.011796068335279086,0.006356669476386578,2581.666,0.012903902928586338,-0.0005842717948394416,2758.4499754999997,0.0026309927418827405
1990-02-05,24.54,331.850006,130950000.0,2622.52,13.65,2756.600098,0.300568,8.08,3,89.5909539887578,115.420478820801,330.920013,0.0028103256480895844,328.2570008,0.00847502060507351,0.007615168863103872,2583.873,0.009362716218059324,0.007308338552869609,2756.9399902,0.0038104901924306024
1990-02-06,24.69,329.660004,134070000.0,2606.31,16.21,2792.0,0.335252,8.09,3,89.5909539887578,149.439147949219,331.850006,-0.006599373091468297,328.06200270000005,0.008662191813847461,-0.006181077742019148,2582.972,0.009436048152188748,0.012841870689072277,2759.8899902000003,0.005536724363159167
1990-02-07,24.29,333.75,186710000.0,2640.09,20.75,2844.800049,0.36824,8.08,3,89.5909539887578,93.4998931884766,329.660004,0.012406709793038706,328.4110017,0.009450615572909016,0.012960852699793968,2586.531,0.010183952927662384,0.018911192335243632,2768.7300048999996,0.007735789213825531
1990-02-08,23.77,332.959991,176240000.0,2644.37,20.62,2903.800049,0.399546,8.08,3,89.5909539887578,76.8662109375,333.75,-0.0023670681647940395,329.0990021,0.008274328765236915,0.001621156854501038,2594.864,0.007976719502116017,0.020739594693391483,2782.2200196000003,0.00953678641263516
1990-02-09,23.69,333.619995,146910000.0,2648.2,15.59,2893.899902,0.429182,8.02,3,89.5909539887578,69.6951065063477,332.959991,0.001982232153532326,329.8810028,0.008209180215692896,0.0014483601008936642,2603.761,0.007886983378429167,-0.0034093762769269453,2794.7200196000003,0.009785504621869404
1990-02-12,24.38,330.079987,118390000.0,2619.14,12.42,2894.699951,0.507383,7.99,3,89.5909539887578,110.770576477051,333.619995,-0.010610898786207357,330.36900030000004,0.009129946040387018,-0.010973491428139859,2610.337,0.008990414826583169,0.00027646049521168337,2807.3000245,0.009771860145147946
1990-02-13,23.76,331.019989,144490000.0,2624.1,18.92,2863.600098,0.528852,7.84,3,89.5909539887578,82.2998199462891,330.079987,0.002847800645362941,331.1729981,0.00864605736557093,0.0018937513840420195,2618.423,0.008702071170454021,-0.010743722501966535,2817.5800293999996,0.010700249535620314
1990-02-14,22.05,332.01001,138530000.0,2624.32,14.73,2870.399902,0.547903,7.87,3,89.5909539887578,63.878719329834,331.019989,0.002990819385230603,331.46600040000004,0.006490123553453719,8.383826835878239e-05,2621.8010000000004,0.0068207273347030035,0.0023745648020998544,2829.4600098,0.010431505381104449
1990-02-15,19.71,334.890015,174620000.0,2649.55,18.18,2910.0,0.564544,7.97,3,89.5909539887578,69.2395858764648,332.01001,0.008674452315458714,332.076001,0.006888989649698926,0.009613919034264118,2628.13,0.007195866470151919,0.013796021234674605,2846.6400147,0.010280354201746169
1990-02-16,20.78,332.720001,166840000.0,2635.59,23.13,2939.300049,0.578782,7.94,3,89.5909539887578,48.9542045593262,334.890015,-0.00647978113053016,332.2559998,0.007138238485230846,-0.005268819233454791,2631.4190000000003,0.007428816755706037,0.010068745360824805,2866.9100098,0.010054329501249178
1990-02-20,22.78,327.98999,147300000.0,2596.85,17.46,2980.0,0.614622,8.06,3,89.5909539887578,59.1529960632324,332.720001,-0.014216190748328472,331.8699982,0.008452873910674384,-0.01469879609499214,2628.852,0.008577380322801368,0.01384681737879978,2889.25,0.010271238663004898
1990-02-21,23.89,327.670013,159240000.0,2583.56,20.68,2862.300049,0.619732,8.01,3,89.5909539887578,62.6701965332031,327.98999,-0.0009755694068590559,331.67099909999996,0.00823331294820255,-0.005117738798929405,2626.577,0.008511664854185336,-0.039496627852348976,2896.2800048999998,0.017933376338933316
1990-02-22,22.54,325.700012,184320000.0,2574.77,21.2,2927.899902,0.623401,7.99,3,89.5909539887578,57.7983436584473,327.670013,-0.00601214918009596,330.8660003,0.0069698443800109535,-0.0034022821223428368,2620.045,0.007001916433868162,0.022918580119830168,2904.5899902,0.018376755233324042
1990-02-23,23.69,324.149994,148490000.0,2564.19,19.6,2894.300049,0.625631,7.93,3,89.5909539887578,41.510871887207,325.700012,-0.004759035747287643,329.98500060000003,0.007008889658749409,-0.0041091048909223105,2612.027,0.006862072022815701,-0.011475751946659285,2903.6399902000003,0.01774137744767933
1990-02-26,23.56,328.670013,148900000.0,2602.48,17.8,2872.600098,0.623647,7.97,3,89.5909539887578,65.2722702026367,324.149994,0.013944220526501017,329.4900024,0.00870416246298967,0.014932590798653722,2607.455,0.008874620861675878,-0.0074974780197711866,2901.5100098,0.017870576089001167
1990-02-27,22.69,330.26001,152590000.0,2617.12,21.7,2932.600098,0.620035,7.99,3,89.5909539887578,127.218254089355,328.670013,0.004837669812000955,329.5080047,0.008259045776554483,0.005625403461313683,2607.2529999999997,0.008492446133903219,0.020887000610274375,2905.3000245,0.019126428172456054
1990-02-28,21.99,331.890015,184400000.0,2627.25,22.99,2952.0,0.614939,8.04,3,89.5909539887578,80.1427612304688,330.26001,0.004935520349557354,329.5950073,0.008362377541551618,0.0038706669927248694,2607.568,0.008565282323946285,0.006615256547672699,2914.1400147,0.018677447438948516
1990-03-01,21.9,332.73999,157930000.0,2635.59,23.22,2933.100098,0.608356,8.08,3,86.065289080521,57.6725578308105,331.890015,0.002561014075701973,329.6680053,0.008348068734226295,0.0031744219240652516,2608.695,0.008618106181241354,-0.006402405826558266,2920.4100343,0.018925320761258885
1990-03-02,21.34,335.540009,164330000.0,2660.36,20.1,2937.0,0.600823,8.02,3,86.065289080521,84.6416854858398,332.73999,0.008415036016560684,329.7330047,0.008319338098918189,0.00939827514901781,2609.776,0.008592894609441397,0.001329617766082869,2923.1100343,0.018491441128547
1990-03-05,22.03,333.73999,140110000.0,2649.55,19.79,2938.0,0.572341,8.09,3,86.065289080521,74.2015151977539,335.540009,-0.005364543576679814,329.83500360000005,0.008226426561195955,-0.004063359846035897,2611.172,0.008511976832570968,0.0003404834865508022,2922.9800294,0.018219872656041133
1990-03-06,20.55,337.929993,143640000.0,2676.8,22.33,2933.0,0.560684,8.17,3,86.065289080521,67.9733428955078,333.73999,0.012554692651606025,330.8290039,0.007264044210636765,0.010284765337510215,2619.1670000000004,0.007081711697245039,-0.0017018379850238796,2918.2800294,0.017568826759870565
1990-03-07,19.1,336.950012,163580000.0,2669.59,22.54,2926.0,0.547914,8.18,3,86.065289080521,77.8888702392578,337.929993,-0.0028999527129869307,331.7570038,0.007405581093102104,-0.0026935146443515245,2627.77,0.006806848530630558,-0.0023866348448687846,2924.6500245,0.011515517722777572
1990-03-08,19.74,340.269989,170900000.0,2696.17,21.85,2915.0,0.534026,8.18,3,86.065289080521,67.0274658203125,336.950012,0.00985302532056287,333.2140015,0.006990710637792338,0.009956585093591208,2639.91,0.0066541095468909675,-0.003759398496240629,2923.3600343,0.009017835788267706
1990-03-09,20.3,337.929993,150410000.0,2683.33,21.7,2912.0,0.519015,8.26,3,86.065289080521,59.9559783935547,340.269989,-0.006876880346917691,334.5920014,0.00732343857981807,-0.004762310981874296,2651.824,0.006751999475408857,-0.0010291595197255976,2925.1300294000002,0.008156861854793062
1990-03-12,20.07,338.670013,114790000.0,2686.71,16.96,2892.0,0.467255,8.26,3,86.065289080521,50.3429756164551,337.929993,0.002189861851060737,335.5920014,0.00647966563389253,0.0012596288939490385,2660.2470000000003,0.00572761419123627,-0.006868131868131844,2927.0700196,0.008089252261340362
1990-03-13,21.05,336.0,145440000.0,2674.55,20.12,2887.0,0.447836,8.26,3,86.065289080521,72.1168594360352,338.670013,-0.00788381875427513,336.16600040000003,0.007282354343228068,-0.004525981590867589,2665.9900000000002,0.0061360128228952595,-0.0017289073305670755,2922.5100098000003,0.003891198278658375
1990-03-14,19.65,336.869995,145060000.0,2687.84,16.84,2881.0,0.427333,8.23,3,86.065289080521,90.2606964111328,336.0,0.00258927083333349,336.6639984,0.007205653496497369,0.0049690602157372865,2672.049,0.006179122093189169,-0.0020782819535850594,2915.4100098000004,0.002628144568766736
1990-03-15,18.81,338.070007,144410000.0,2695.72,16.67,2892.0,0.40574,8.21,3,86.065289080521,59.0909271240234,336.869995,0.003562240679820583,337.1970001,0.007228740832661333,0.0029317221263169824,2678.0620000000004,0.0061757806473113405,0.0038181187087815704,2911.3,0.002885711898746777
1990-03-16,17.62,341.910004,222520000.0,2741.22,36.31,2886.0,0.383047,8.19,3,86.065289080521,71.666130065918,338.070007,0.011358585264856114,337.83399959999997,0.007587484415977326,0.016878607570519177,2686.148,0.0074549303735522085,-0.0020746887966804906,2906.2,0.0027233107903297717
1990-03-19,18.29,343.529999,142300000.0,2755.63,17.44,2871.0,0.307439,8.22,3,86.065289080521,62.3942565917969,341.910004,0.004738074291619654,338.8130005,0.007172767993229793,0.005256783475970694,2696.756,0.0070416299443930965,-0.00519750519750517,2899.5,0.002813281818152439
1990-03-20,19.06,341.570007,177320000.0,2738.74,22.4,2880.0,0.278574,8.25,3,86.065289080521,79.2243423461914,343.529999,-0.005705446411391812,339.1770019,0.006759443953364635,-0.0061292698947247315,2702.95,0.007310289806679223,0.0031347962382444194,2894.2,0.0033011297371446
1990-03-21,20.1,339.73999,130990000.0,2727.93,14.8,2926.0,0.247721,8.23,3,86.065289080521,67.7878799438477,341.570007,-0.005357663033920934,339.4559997,0.0069623719926049325,-0.003947070550691212,2708.784,0.007415689248725382,0.015972222222222276,2894.2,0.006502166631822901
1990-03-22,22.74,335.690002,175930000.0,2695.72,21.71,2948.0,0.214866,8.17,3,86.065289080521,75.7776947021484,339.73999,-0.011920845703209615,338.998001,0.007232326218695552,-0.0118074877287907,2708.739,0.008049299848183079,0.007518796992481258,2897.5,0.006747481339306497
1990-03-23,20.46,337.220001,132070000.0,2704.28,19.01,2974.0,0.179996,8.15,3,86.065289080521,35.5764999389648,335.690002,0.004557773513910179,338.92700179999997,0.007161602007311592,0.0031754039737066364,2710.834,0.007916421436870625,0.008819538670284954,2903.7,0.0071039459432910524
1990-03-26,19.59,337.630005,116110000.0,2707.66,12.84,3014.0,0.0646082,8.13,2,86.065289080521,76.9087066650391,337.220001,0.0012158353561002588,338.823001,0.0071322437527902745,0.0012498705755319417,2712.929,0.00791635992677824,0.01344989912575656,2915.9,0.0071493673899713185
1990-03-27,21.01,341.5,131610000.0,2736.94,14.32,3010.0,0.0244319,8.17,2,86.065289080521,75.1717300415039,337.630005,0.011462236598314135,339.373001,0.007458277607290848,0.010813765391519015,2719.168,0.00824782126634171,-0.0013271400132713884,2928.2,0.007113615191717215
1990-03-28,19.77,342.0,142300000.0,2743.69,16.71,2990.0,-0.0163862,8.12,2,86.065289080521,89.0223236083984,341.5,0.0014641288433381305,339.88600149999996,0.007451016944461512,0.0024662579376968363,2724.7529999999997,0.008196966037962114,-0.006644518272425293,2939.1,0.007685238699314349
1990-03-29,18.46,340.790009,132190000.0,2727.7,15.08,3000.0,-0.0578621,8.1,2,86.065289080521,82.4556884765625,342.0,-0.003537985380116959,340.1580017,0.007573920334619524,-0.00582791787701975,2727.951,0.00855702483434683,0.0033444816053511683,2949.9,0.007686210808006134
